compression_algo,file_name,image_data_shape,image_data_dtype,image_data_size,compressed_size,ratio,chunks_shape_for_compression,chunk_size_byte,time_to_compress,comp_mb/s,decompression_time,decomp_mb/s,decompression_shape,decompression_chunk_size
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570466923.2,1.00007,"(2, 1, 512, 128)",262144.0,0.57,1004.05,0.54,1048.15,"(2176, 2, 512, 128)",262144.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570500412.8,1.00013,"(3, 1, 512, 128)",393216.0,0.58,982.73,0.52,1086.91,"(2176, 2, 512, 128)",393216.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570394168.8,0.99995,"(4, 1, 512, 128)",524288.0,0.56,1012.16,0.52,1098.41,"(2176, 2, 512, 128)",524288.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570479138.8,1.00009,"(5, 1, 512, 128)",655360.0,0.55,1039.89,0.51,1120.71,"(2176, 2, 512, 128)",655360.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570426850.4,1.00000,"(6, 1, 512, 128)",786432.0,0.54,1050.85,0.50,1133.29,"(2176, 2, 512, 128)",786432.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570392336.0,0.99994,"(7, 1, 512, 128)",917504.0,0.54,1056.95,0.51,1128.46,"(2176, 2, 512, 128)",917504.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570361264.8,0.99989,"(8, 1, 512, 128)",1048576.0,0.54,1053.89,0.50,1138.31,"(2176, 2, 512, 128)",1048576.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570464715.2,1.00007,"(9, 1, 512, 128)",1179648.0,0.53,1070.58,0.52,1101.57,"(2176, 2, 512, 128)",1179648.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570463211.2,1.00007,"(10, 1, 512, 128)",1310720.0,0.52,1088.01,0.51,1118.03,"(2176, 2, 512, 128)",1310720.0
blosc,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570602621.6,1.00031,"(136, 1, 32, 16)",139264.0,0.88,646.34,0.94,605.23,"(2176, 2, 512, 128)",139264.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570446196.8,1.00004,"(1, 512, 128)",262144.0,0.52,1089.62,0.53,1070.44,"(2176, 512, 128)",262144.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570383790.4,0.99993,"(2, 512, 128)",524288.0,0.48,1176.35,0.52,1107.23,"(2176, 512, 128)",524288.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570915476.8,1.00086,"(3, 512, 128)",786432.0,0.46,1240.58,0.50,1130.82,"(2176, 512, 128)",786432.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570355566.4,0.99988,"(4, 512, 128)",1048576.0,0.46,1253.39,0.51,1114.02,"(2176, 512, 128)",1048576.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,571502603.2,1.00189,"(5, 512, 128)",1310720.0,0.45,1269.07,0.50,1147.80,"(2176, 512, 128)",1310720.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570975179.2,1.00096,"(6, 512, 128)",1572864.0,0.67,853.46,0.51,1128.59,"(2176, 512, 128)",1572864.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570709899.2,1.00050,"(7, 512, 128)",1835008.0,0.67,853.60,0.50,1136.53,"(2176, 512, 128)",1835008.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570444619.2,1.00003,"(8, 512, 128)",2097152.0,0.67,851.07,0.50,1141.19,"(2176, 512, 128)",2097152.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570968907.2,1.00095,"(9, 512, 128)",2359296.0,0.66,867.99,0.51,1126.45,"(2176, 512, 128)",2359296.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,571490059.2,1.00187,"(10, 512, 128)",2621440.0,0.65,882.03,0.52,1106.18,"(2176, 512, 128)",2621440.0
lz4,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570563643.2,1.00024,"(136, 32, 8)",139264.0,0.74,774.54,0.96,592.30,"(2176, 512, 128)",139264.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530764095.2,0.93047,"(1, 512, 128)",262144.0,1.56,366.25,1.48,385.31,"(2176, 512, 128)",262144.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530691898.6,0.93034,"(2, 512, 128)",524288.0,1.53,373.65,1.45,392.71,"(2176, 512, 128)",524288.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530744267.4,0.93044,"(3, 512, 128)",786432.0,1.57,364.38,1.43,397.77,"(2176, 512, 128)",786432.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530659323.4,0.93029,"(4, 512, 128)",1048576.0,1.52,374.82,1.44,397.01,"(2176, 512, 128)",1048576.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530750465.2,0.93045,"(5, 512, 128)",1310720.0,1.51,377.62,1.42,400.83,"(2176, 512, 128)",1310720.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530746551.2,0.93044,"(6, 512, 128)",1572864.0,1.52,375.12,1.44,397.13,"(2176, 512, 128)",1572864.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530742871.2,0.93043,"(7, 512, 128)",1835008.0,1.51,378.34,1.43,398.93,"(2176, 512, 128)",1835008.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530739321.2,0.93043,"(8, 512, 128)",2097152.0,1.51,377.20,1.43,399.58,"(2176, 512, 128)",2097152.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530739069.2,0.93043,"(9, 512, 128)",2359296.0,1.51,378.48,1.44,394.93,"(2176, 512, 128)",2359296.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,530735741.2,0.93042,"(10, 512, 128)",2621440.0,1.87,304.71,1.44,395.03,"(2176, 512, 128)",2621440.0
zstd,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,528840351.4,0.92710,"(136, 32, 8)",139264.0,1.89,301.44,1.96,290.76,"(2176, 512, 128)",139264.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570446175.2,1.00004,"(1, 512, 128)",262144.0,0.56,1010.37,0.53,1071.70,"(2176, 512, 128)",262144.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570383768.8,0.99993,"(2, 512, 128)",524288.0,0.55,1039.50,0.52,1107.33,"(2176, 512, 128)",524288.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570445579.6,1.00004,"(3, 512, 128)",786432.0,0.54,1052.10,0.51,1117.14,"(2176, 512, 128)",786432.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570355544.8,0.99988,"(4, 512, 128)",1048576.0,0.51,1120.11,0.50,1137.38,"(2176, 512, 128)",1048576.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570458375.2,1.00006,"(5, 512, 128)",1310720.0,0.52,1106.04,0.51,1122.48,"(2176, 512, 128)",1310720.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570453131.2,1.00005,"(6, 512, 128)",1572864.0,0.52,1104.59,0.51,1127.34,"(2176, 512, 128)",1572864.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570448951.2,1.00004,"(7, 512, 128)",1835008.0,0.51,1118.62,0.51,1128.64,"(2176, 512, 128)",1835008.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570444595.2,1.00003,"(8, 512, 128)",2097152.0,0.52,1102.30,0.50,1147.91,"(2176, 512, 128)",2097152.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570446919.2,1.00004,"(9, 512, 128)",2359296.0,0.52,1105.46,0.52,1090.67,"(2176, 512, 128)",2359296.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570445931.2,1.00004,"(10, 512, 128)",2621440.0,0.92,623.25,0.51,1120.75,"(2176, 512, 128)",2621440.0
blosc,CORR-R0017-AGIPD00-S00003.h5,"(2176, 512, 128)",float32,570425472,570563621.6,1.00024,"(136, 32, 8)",139264.0,0.80,709.39,0.97,585.57,"(2176, 512, 128)",139264.0
