Compressor name,Level,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lzma,19.00 -5,4.58,33.06,12888858400,7688951225,59.66,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lzma,19.00 -9,3.23,33.96,12888858400,7582922664,58.83,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -1,44.19,309.60,12888858400,8056399527,62.51,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -3,40.98,310.11,12888858400,8044349362,62.41,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -5,35.93,311.91,12888858400,7989837349,61.99,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -7,34.83,315.95,12888858400,7979600482,61.91,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -9,21.70,320.14,12888858400,7958859768,61.75,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -1,3823.41,3674.37,12888858400,8771329278,68.05,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -3,2775.29,5511.08,12888858400,8768188894,68.03,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -5,3335.63,3616.70,12888858400,8767976522,68.03,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -7,2578.09,5472.37,12888858400,8767968704,68.03,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -9,2419.17,5469.67,12888858400,8767968704,68.03,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -1,16.62,30.16,12888858400,8208662653,63.69,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -3,16.88,29.99,12888858400,8232828952,63.88,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -5,16.43,27.75,12888858400,8245174012,63.97,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -7,16.13,26.38,12888858400,8233157394,63.88,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -9,15.81,25.60,12888858400,8229726743,63.85,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -1,104.87,5622.76,12888858400,8744592246,67.85,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -3,69.41,5657.83,12888858400,8733314355,67.76,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -5,59.11,5735.33,12888858400,8721697444,67.67,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -7,43.80,5761.81,12888858400,8715535920,67.62,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -9,26.15,5770.44,12888858400,8711001181,67.59,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -12,16.66,5800.57,12888858400,8702759514,67.52,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lz4,1.9.2,4666.92,4969.94,12888858400,8809426681,68.35,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -1,994.62,1063.91,12888858400,7913141192,61.40,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -4,888.27,1062.19,12888858400,7912227462,61.39,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -8,211.28,1067.91,12888858400,7906881152,61.35,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -12,141.79,1074.37,12888858400,7904778987,61.33,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -16,26.94,1021.83,12888858400,8044555635,62.41,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -20,7.95,879.42,12888858400,8032946678,62.32,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 --1,2233.25,3665.14,12888858400,8605428204,66.77,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 --10,2415.20,3663.14,12888858400,8605748020,66.77,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zstd,1.4.3 --20,2465.67,3671.14,12888858400,8605394489,66.77,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
