Compressor name,Level,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lzma,19.00 -5,2.04,32.21,8594165714,5819732954,67.72,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
lzma,19.00 -9,1.31,31.94,8594165714,5807626352,67.58,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -1,40.73,188.71,8594165714,6664854599,77.55,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -3,26.55,192.06,8594165714,6631602006,77.16,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -5,18.12,174.28,8594165714,6589299829,76.67,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -7,17.97,175.65,8594165714,6589301353,76.67,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
zlib,1.2.11 -9,17.96,176.26,8594165714,6589300087,76.67,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -1,4833.76,4905.38,8594165714,8594165714,100.00,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -3,3365.12,3628.52,8594165714,8591672256,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -5,2721.25,4466.40,8594165714,8591327681,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -7,3203.25,3560.20,8594165714,8591327631,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
blosclz,2.0.0 -9,2700.80,3622.09,8594165714,8591327631,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -1,12.27,27.57,8594165714,5816152656,67.68,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -3,12.72,26.09,8594165714,5778942442,67.24,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -5,12.41,24.37,8594165714,5763545442,67.06,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -7,12.00,22.89,8594165714,5750622575,66.91,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
bzip2,1.0.8 -9,11.68,21.12,8594165714,5743394726,66.83,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -1,72.19,2154.95,8594165714,8503704295,98.95,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -3,48.81,2199.93,8594165714,8471182826,98.57,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -5,46.41,2073.06,8594165714,8466226344,98.51,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -7,46.27,1987.74,8594165714,8466225516,98.51,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -9,46.43,2035.03,8594165714,8466224625,98.51,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4hc,1.9.2 -12,37.44,2177.80,8594165714,8465581307,98.50,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lz4,1.9.2,4233.00,4950.29,8594165714,8624022284,100.35,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -1,681.64,694.35,8594165714,6713522493,78.12,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -4,98.51,601.30,8594165714,6706928792,78.04,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -8,22.60,425.91,8594165714,6624345754,77.08,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -12,15.90,291.72,8594165714,6463413283,75.21,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -16,7.88,512.00,8594165714,6630451945,77.15,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 -20,2.60,263.98,8594165714,6358063388,73.98,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 --1,1594.61,2819.89,8594165714,8590292410,99.95,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 --10,1740.03,2719.12,8594165714,8590306433,99.96,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zstd,1.4.3 --20,1767.25,2743.32,8594165714,8590379791,99.96,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lzma,19.00 -1,13.83,29.15,8594165714,6028028556,70.14,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lzma,19.00 -2,10.92,29.62,8594165714,6055025501,70.46,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lzma,19.00 -4,5.93,32.34,8594165714,6040444905,70.29,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lzma,19.00 -5,2.04,32.07,8594165714,5831652825,67.86,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
lzma,19.00 -9,1.32,31.59,8594165714,5821321577,67.74,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -1,40.68,187.37,8594165714,6669150474,77.60,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -3,26.77,191.05,8594165714,6637540837,77.23,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -5,18.26,175.33,8594165714,6594490507,76.73,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -7,18.11,174.63,8594165714,6594506540,76.73,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -9,18.09,178.33,8594165714,6594507020,76.73,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0002/RAW-R0034-AGIPD02-S00004.h5
